ID,Status,DC ID,Host ID,Host PEs CPU Cores,VM ID,VM PEs CPU Cores,CloudletLen MI,FinishedLen MI,CloudletPEs CPU Cores,ArrivalTime Seconds,SubmssionTime Seconds,StartWaitTime Seconds,StartTime Seconds,FinishTime Seconds,ExecTime Seconds,TotalWaitTime Seconds,CompletionTime Seconds,Cost $
139,SUCCESS,2,21,16,21,4,50000,50000,1,23,61,0,61,62,2,38,40,44.33
57,SUCCESS,2,31,16,31,8,50000,50000,1,23,59,0,59,60,1,36,37,42.75
140,SUCCESS,2,31,16,31,8,100000,100000,8,23,349,0,349,351,2,326,328,3951.00
58,SUCCESS,2,2,16,34,8,100000,100000,8,23,108,2,110,112,3,88,90,1096.32
142,SUCCESS,2,1,16,1,2,150000,150000,2,24,61,0,61,64,4,37,41,195.50
60,SUCCESS,2,10,16,10,2,150000,150000,2,24,63,0,63,66,4,39,43,204.50
141,SUCCESS,2,21,16,21,4,200000,200000,4,24,172,0,172,176,5,148,153,1840.32
59,SUCCESS,2,25,16,25,4,200000,200000,4,24,108,0,108,112,5,84,89,1072.32
62,SUCCESS,2,22,16,22,4,100000,100000,4,26,66,0,66,68,3,40,43,267.66
61,SUCCESS,2,31,16,31,8,250000,250000,8,26,65,0,65,70,6,39,45,1338.30
143,SUCCESS,2,2,16,34,8,250000,250000,8,26,264,0,264,269,5,238,243,7305.00
65,SUCCESS,2,1,16,1,2,150000,150000,2,27,68,0,68,71,4,41,45,213.50
63,SUCCESS,2,2,16,2,2,50000,50000,1,27,67,0,67,68,2,40,42,45.83
147,SUCCESS,2,31,16,31,8,150000,150000,2,27,67,3,70,73,4,44,47,227.00
151,SUCCESS,2,16,16,16,2,200000,200000,2,28,69,0,69,73,5,41,46,285.66
66,SUCCESS,2,27,16,27,4,250000,250000,4,28,200,0,200,205,5,172,177,2670.00
67,SUCCESS,2,30,16,30,8,50000,50000,8,28,69,3,72,73,2,45,46,291.66
69,SUCCESS,2,30,16,30,8,200000,200000,2,28,68,0,68,72,5,40,45,279.66
149,SUCCESS,2,30,16,30,8,50000,50000,8,28,150,0,150,151,1,122,123,753.00
